date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:40	26/26	U-----	200	untouched ('OK')	text/plain	date:Thu,%2017%20Mar%202016%2013:13:15%20GMT	https://nrlbrand.com/robots.txt		(from )
12:27:40	32904/32904	U-----	200	untouched ('OK')	text/html	date:Fri,%2009%20Aug%202019%2015:50:34%20GMT	https://nrlbrand.com/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/index.html	(from )
12:27:40	65396/65396	U-----	200	untouched ('OK')	text/html	date:Fri,%2009%20Aug%202019%2013:56:48%20GMT	https://nrlbrand.com/quick-ship	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/quick-ship.html	(from )
12:27:41	83799/83799	U-----	200	untouched ('OK')	text/html	date:Fri,%2009%20Aug%202019%2014:12:07%20GMT	https://nrlbrand.com/print-1	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/print-1.html	(from )
12:27:42	36142/36142	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:14:56%20GMT	https://nrlbrand.com/about-us/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/about-us/index.html	(from )
12:27:44	40245/40245	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:27:41%20GMT	https://nrlbrand.com/customer/account/login/referer/aHR0cHM6Ly9ucmxicmFuZC5jb20vY3VzdG9tZXIvYWNjb3VudC9pbmRleC8,/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/customer/account/login/referer/aHR0cHM6Ly9ucmxicmFuZC5jb20vY3VzdG9tZXIvYWNjb3VudC9pbmRleC8,/index.html	(from )
12:27:46	36586/36586	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:27:43%20GMT	https://nrlbrand.com/checkout/cart/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/checkout/cart/index.html	(from )
12:27:47	48598/48598	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:25:34%20GMT	https://nrlbrand.com/privacy-policy-cookie-restriction-mode/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/privacy-policy-cookie-restriction-mode/index.html	(from )
12:27:49	39183/39183	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:27:46%20GMT	https://nrlbrand.com/contacts/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/contacts/index.html	(from )
12:27:50	43231/43231	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:25:51%20GMT	https://nrlbrand.com/customer-service/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/customer-service/index.html	(from )
12:27:51	32415/32415	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:25:59%20GMT	https://nrlbrand.com/careers/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/careers/index.html	(from )
12:27:51	33263/33263	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:26:07%20GMT	https://nrlbrand.com/returns_and_exchanges/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/returns_and_exchanges/index.html	(from )
12:27:52	58283/58283	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:26:12%20GMT	https://nrlbrand.com/terms_and_conditions/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/terms_and_conditions/index.html	(from )
12:27:54	39903/39903	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:27:51%20GMT	https://nrlbrand.com/catalog/seo_sitemap/category/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/catalog/seo_sitemap/category/index.html	(from )
12:27:55	39172/39172	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2017:18:48%20GMT	https://nrlbrand.com/request-quote-form/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/request-quote-form/index.html	(from )
12:27:56	107111/107111	U-----	200	untouched ('OK')	text/html	date:Fri,%2009%20Aug%202019%2014:14:44%20GMT	https://nrlbrand.com/promo	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/promo.html	(from )
12:27:56	133684/133684	U-----	200	untouched ('OK')	text/html	date:Fri,%2009%20Aug%202019%2013:49:38%20GMT	https://nrlbrand.com/apparel	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/apparel.html	(from )
12:27:56	87984/87984	U-----	200	untouched ('OK')	text/html	date:Fri,%2009%20Aug%202019%2013:54:58%20GMT	https://nrlbrand.com/closing-gifts	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/closing-gifts.html	(from )
12:27:57	800/800	U-----	200	untouched ('')	text/javascript	date:Fri,%2009%20Aug%202019%2015:50:36%20GMT	https://sealserver.trustwave.com/seal.js?style=invert&size=65x36&code=7e2aadd40ca511e0b34b005056b201e5	C:/My%20Web%20Sites/NRLbrand/sealserver.trustwave.com/sealb587.js	(from https://nrlbrand.com/)
12:27:57	5903/5903	U-----	200	untouched ('')	image/png	date:Mon,%2029%20Jan%202018%2014:46:48%20GMT	https://marketing.ccbrands.com/newclubcolors/skin/frontend/rwd/clubcolors/images/olp-seal.png	C:/My%20Web%20Sites/NRLbrand/marketing.ccbrands.com/newclubcolors/skin/frontend/rwd/clubcolors/images/olp-seal.png	(from https://nrlbrand.com/)
12:27:57	9277/9277	U-----	200	untouched ('')	image/png	date:Fri,%2009%20Aug%202019%2013:17:02%20GMT	https://ssl.comodo.com/images/comodo_secure_seal_100x85_transp.png	C:/My%20Web%20Sites/NRLbrand/ssl.comodo.com/images/comodo_secure_seal_100x85_transp.png	(from https://nrlbrand.com/)
12:27:57	142364/142364	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Aug%202019%2013:43:49%20GMT	https://www.workable.com/assets/embed.js	C:/My%20Web%20Sites/NRLbrand/www.workable.com/assets/embed.js	(from https://nrlbrand.com/careers/)
