date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:17	65396/65396	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2013:56:48%20GMT	https://nrlbrand.com/quick-ship	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/quick-ship.html	(from )
12:19:17	32904/32904	U-----	200	untouched ('OK')	text/html	date:Fri,%2009%20Aug%202019%2015:50:34%20GMT	https://nrlbrand.com/	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/index.html	(from )
12:19:18	83799/83799	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2014:12:07%20GMT	https://nrlbrand.com/print-1	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/print-1.html	(from )
12:19:18	107111/107111	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2014:14:44%20GMT	https://nrlbrand.com/promo	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/promo.html	(from )
12:19:18	133684/133684	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2013:49:38%20GMT	https://nrlbrand.com/apparel	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/apparel.html	(from )
12:19:19	87984/87984	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202019%2013:54:58%20GMT	https://nrlbrand.com/closing-gifts	C:/My%20Web%20Sites/NRLbrand/nrlbrand.com/closing-gifts.html	(from )
12:19:19	26/26	U-----	200	untouched ('OK')	text/plain	date:Thu,%2017%20Mar%202016%2013:13:15%20GMT	https://nrlbrand.com/robots.txt		(from )
12:19:19	800/800	U-----	200	untouched ('')	text/javascript	date:Fri,%2009%20Aug%202019%2015:50:36%20GMT	https://sealserver.trustwave.com/seal.js?style=invert&size=65x36&code=7e2aadd40ca511e0b34b005056b201e5	C:/My%20Web%20Sites/NRLbrand/sealserver.trustwave.com/sealb587.js	(from https://nrlbrand.com/)
12:19:19	9277/9277	U-----	200	untouched ('')	image/png	date:Fri,%2009%20Aug%202019%2013:17:02%20GMT	https://ssl.comodo.com/images/comodo_secure_seal_100x85_transp.png	C:/My%20Web%20Sites/NRLbrand/ssl.comodo.com/images/comodo_secure_seal_100x85_transp.png	(from https://nrlbrand.com/)
12:19:20	5903/5903	U-----	200	untouched ('')	image/png	date:Mon,%2029%20Jan%202018%2014:46:48%20GMT	https://marketing.ccbrands.com/newclubcolors/skin/frontend/rwd/clubcolors/images/olp-seal.png	C:/My%20Web%20Sites/NRLbrand/marketing.ccbrands.com/newclubcolors/skin/frontend/rwd/clubcolors/images/olp-seal.png	(from https://nrlbrand.com/)
